,0
0,11.17611111111111
1,11.17611111111111
2,11.44358610110711
3,11.44358610110711
4,11.44358610110711
5,11.17611111111111
6,11.56065062388592
7,11.176111111111112
8,11.44358610110711
9,11.17611111111111
10,11.07975113122172
11,11.07975113122172
12,11.56065062388592
13,11.327939842603708
14,11.44358610110711
15,11.44358610110711
16,11.44358610110711
17,11.44358610110711
18,11.560650623885918
19,11.44358610110711
20,11.327939842603708
21,11.560650623885918
22,11.17611111111111
23,11.44358610110711
24,11.44358610110711
25,11.56065062388592
26,11.560650623885918
27,11.07975113122172
28,11.56065062388592
